date,open,high,low,close,volume,average,barCount
2025-08-27 10:38:00-04:00,230.47,230.59,230.46,230.54,80529.0,230.519,469
2025-08-27 10:39:00-04:00,230.54,230.63,230.53,230.58,70177.0,230.579,394
2025-08-27 10:40:00-04:00,230.57,230.7,230.56,230.65,86224.0,230.646,512
2025-08-27 10:41:00-04:00,230.65,230.71,230.42,230.48,79924.0,230.557,559
2025-08-27 10:42:00-04:00,230.48,230.5,230.38,230.47,46264.0,230.425,268
2025-08-27 10:43:00-04:00,230.48,230.52,230.38,230.38,51092.0,230.452,310
2025-08-27 10:44:00-04:00,230.36,230.36,230.2,230.21,63589.0,230.265,283
2025-08-27 10:45:00-04:00,230.21,230.22,229.96,229.97,54081.0,230.12,299
2025-08-27 10:46:00-04:00,229.98,230.04,229.82,229.88,275564.0,229.929,666
2025-08-27 10:47:00-04:00,229.9,229.96,229.82,229.94,80155.0,229.864,426
2025-08-27 10:48:00-04:00,229.95,230.01,229.92,229.95,41130.0,229.962,257
2025-08-27 10:49:00-04:00,229.94,230.05,229.92,230.02,41542.0,230.012,197
2025-08-27 10:50:00-04:00,230.02,230.14,229.89,230.14,72934.0,230.003,376
2025-08-27 10:51:00-04:00,230.12,230.12,229.83,229.86,106677.0,229.943,404
2025-08-27 10:52:00-04:00,229.86,229.95,229.84,229.89,37932.0,229.871,207
2025-08-27 10:53:00-04:00,229.87,230.03,229.84,230.01,52033.0,229.948,295
2025-08-27 10:54:00-04:00,230.01,230.06,229.95,230.05,31685.0,229.981,184
2025-08-27 10:55:00-04:00,230.05,230.09,230.01,230.07,28668.0,230.055,179
2025-08-27 10:56:00-04:00,230.08,230.25,230.06,230.25,80552.0,230.153,360
2025-08-27 10:57:00-04:00,230.24,230.29,230.12,230.17,52645.0,230.189,285
2025-08-27 10:58:00-04:00,230.16,230.19,230.12,230.15,41612.0,230.151,207
2025-08-27 10:59:00-04:00,230.15,230.2,230.08,230.18,42378.0,230.132,268
2025-08-27 11:00:00-04:00,230.18,230.25,230.18,230.25,27618.0,230.218,153
2025-08-27 11:01:00-04:00,230.26,230.3,230.23,230.27,30534.0,230.272,179
2025-08-27 11:02:00-04:00,230.26,230.3,230.22,230.28,37194.0,230.26,162
2025-08-27 11:03:00-04:00,230.29,230.34,230.2,230.2,42322.0,230.294,227
2025-08-27 11:04:00-04:00,230.21,230.23,230.1,230.12,52936.0,230.163,177
2025-08-27 11:05:00-04:00,230.13,230.22,230.11,230.17,24300.0,230.163,142
